ITEMNUMBER,count
A0001803,34
A0001804,3
A0001805,3
A0001806,9
A0001807,9
A0001808,1
A0001809,1
A0001810,180
A0001811,118
A0001813,1
A0001815,4
A0001818,1
A0001819,4
A0001821,62
A0001822,173
A0001823,181
A0001824,20
A0001825,19
A0001826,18
A0001827,17
A0001828,17
A0001829,318
A0001833,1
A0001834,1851
A0001835,409
A0001836,472
A0001840,1
A0001841,3
A0001842,13
A0001847,3
A0001849,1
A0001855,228
A0001856,304
A0001858,387
A0001859,121
A0001862,2
A0001863,22
A0001867,40
A0001868,24
A0001870,24
A0001871,14
A0001872,14
A0001873,3603
A0001874,3
A0001875,3
A0001876,4
A0001877,17
A0001878,22
A0001884,10
A0001891,478
A0001892,441
A0001893,67
A0001895,30
A0001897,2
A0001898,980
A0001899,520
A0001906,1
A0001909,1
A0001913,2
A0001914,3
A0001915,1
A0001917,397
A0001918,57
A0001922,94
A0001924,4
A0001926,74
A0001927,38
A0001928,32
A0001929,417
A0001930,433
A0001931,462
A0001932,288
A0001933,576
A0001934,281
A0001935,329
A0001936,9
A0001937,434
A0001938,337
A0001939,576
A0001940,322
A0001941,6
A0001942,523
A0001943,395
A0001944,395
A0001945,563
A0001947,1
A0001948,5
A0001950,17
A0001951,6
A0001953,5664
A0001954,4
A0001955,4
A0001956,7
A0001958,6
A0001959,1
A0001962,74
A0001964,177
A0001965,478
A0001966,137
A0001967,48
A0001968,862
A0001969,787
A0001970,29
A0001971,12
A0001972,400
A0001973,432
A0001974,1137
A0001975,558
A0001976,1125
A0001977,1451
A0001978,998
A0001979,53
A0001981,3612
A0001985,1
A0001992,1
A0001996,1
A0002002,1
A0002011,1
A0002019,1
A0002020,8
A0002023,2
A0002025,4
A0002026,289
A0002027,605
A0002029,47
A0002032,13
A0002033,20
A0002034,2
A0002035,1
A0002036,8
A0002037,71
A0002039,6
A0002040,180
A0002041,90
A0002042,1
A0002043,1
A0002045,25
A0002046,124
A0002047,97
A0002049,165
A0002050,117
A0002051,118
A0002054,1
A0002055,345
A0002056,25
A0002058,4
A0002060,116
A0002061,104
A0002062,3
A0002064,2
A0002065,393
A0002067,2
A0002068,1
A0002069,1
A0002070,175
A0002072,3
A0002073,2
A0002074,612
A0002075,71
A0002076,1
A0002077,2
A0002078,4
A0002079,297
A0002080,96
A0002082,1
A0002084,167
A0002085,58
A0002086,3
A0002087,1
A0002088,1
A0002089,98
A0002098,1
A0002100,1
A0002103,1
A0002105,3
A0002109,2
A0002110,1
A0002112,1
A0002113,2
A0002115,2
A0002119,2
A0002121,1
A0002128,2
A0002133,239
A0002134,65
A0002135,10
A0002137,36
A0002138,3
A0002140,3
A0002141,13
A0002142,2
A0002144,11
A0002145,14
A0002149,61
A0002150,638
A0002151,392
A0002155,9
A0002157,16
A0002161,14
A0002162,14
A0002163,3
A0002165,21
A0002166,52
A0002167,54
A0002168,22
A0002169,1
A0002170,2
A0002175,6
A0002177,1
A0002178,1
A0002187,1
A0002191,1
A0002193,6
A0002194,9
A0002198,38
A0002199,18
A0002200,21
A0002202,1
A0002203,5
A0002204,3
A0002208,2
A0002210,2
A0002213,3
A0002214,23
A0002215,22
A0002216,2
A0002218,6
A0002219,1
A0002222,1
A0002224,1
A0002226,125
A0002228,46
A0002229,14
A0002230,16
A0002231,2
A0002234,1
A0002235,1
A0002236,62
A0002238,162
A0002239,5
A0002244,277
A0002248,3
A0002250,1
A0002251,9
A0002253,53
A0002254,211
A0002256,22
A0002257,8
A0002258,3
A0002261,259
A0002262,834
A0002263,456
A0002267,3
A0002272,765
A0002274,290
A0002276,254
A0002277,35
A0002278,31
A0002280,151
A0002281,13
A0002282,107
A0002283,52
A0002284,92
A0002285,48
A0002286,15
A0002288,4
A0002290,35
A0002291,16
A0002292,73
A0002293,79
A0002294,8
A0002297,1595
A0002298,1812
A0002299,326
A0002300,68
A0002301,73
